hanzi,pinyin,english
爱,,love
家,jiā,home
朋友,péngyou,friend
水,,water
火,huǒ,fire
山,,mountain
月,,moon
日,,sun
木,,wood
人,,person
大,,big
小,,small
好,,good
不,,not
我,,I
你,,you
他,,he
她,,she
它,,it
的,,possessive particle
是,,to be
有,,to have
在,,at
了,,completed action
和,,and
一,,one
二,,two
三,,three
四,,four
五,,five
六,,six
七,,seven
八,,eight
九,,nine
十,,ten
年,,year
天,,day
时,,time
分,,minute
上,,up
下,,down
左,,left
右,,right
前,,front
后,,back
中,,middle
里,,inside
外,,outside
东,,east
西,,west
南,,south
北,,north
来,,to come
去,,to go
看,,to see
听,,to hear
说,,to say
做,,to do
吃,,to eat
喝,,to drink
睡,,to sleep
走,,to walk
跑,,to run
飞,,to fly
学,,to study
教,,to teach
读,,to read
写,,to write
买,,to buy
卖,,to sell
开,,to open
关,,to close
门,,door
窗,,window
房,,room
车,,car
船,,boat
飞机,,airplane
电话,,telephone
电脑,,computer
手机,,mobile phone
书,,book
笔,,pen
纸,,paper
桌子,,table
椅子,,chair
床,,bed
衣服,,clothes
鞋,,shoes
帽子,,hat
眼镜,,glasses
手,,hand
脚,,foot
头,,head
眼,,eye
耳,,ear
鼻,,nose
嘴,,mouth
心,,heart
身体,,body
红,,red
黄,,yellow
蓝,,blue
绿,,green
黑,,black
白,,white
热,,hot
冷,,cold
快,,fast
慢,,slow
高,,tall
矮,,short
长,,long
短,,short
新,,new
旧,,old
美,,beautiful
丑,,ugly
胖,,fat
瘦,,thin
强,,strong
弱,,weak
聪明,,smart
笨,,stupid
高兴,,happy
难过,,sad
生气,,angry
害怕,,afraid
累,,tired
饿,,hungry
渴,,thirsty
病,,sick
健康,,healthy
钱,,money
工作,,work
学校,,school
医院,,hospital
银行,,bank
商店,,shop
饭店,,restaurant
公园,,park
图书馆,,library
电影院,,cinema
火车站,,train station
机场,,airport
中国,,China
美国,,America
英国,,Britain
法国,,France
德国,,Germany
日本,,Japan
韩国,,Korea
早上,,morning
中午,,noon
下午,,afternoon
晚上,,evening
夜,,night
今天,,today
昨天,,yesterday
明天,,tomorrow
现在,,now
春,,spring
夏,,summer
秋,,autumn
冬,,winter
雨,,rain
雪,,snow
风,,wind
云,,cloud
太阳,,sun
星,,star
地,,earth
海,,sea
河,,river
湖,,lake
树,,tree
花,,flower
草,,grass
叶,,leaf
果,,fruit
菜,,vegetable
米,,rice
面,,noodles
肉,,meat
鱼,,fish
蛋,,egg
奶,,milk
茶,,tea
咖啡,,coffee
酒,,wine
糖,,sugar
盐,,salt
油,,oil
醋,,vinegar
辣,,spicy
甜,,sweet
酸,,sour
苦,,bitter
咸,,salty
香,,fragrant
臭,,smelly
干净,,clean
脏,,dirty
安全,,safe
危险,,dangerous
容易,,easy
难,,difficult
重要,,important
有趣,,interesting
无聊,,boring
忙,,busy
闲,,free
早,,early
晚,,late
对,,correct
错,,wrong
真,,true
假,,false
可以,,can
应该,,should
必须,,must
想,,to want
希望,,to hope
需要,,to need
喜欢,,to like
讨厌,,to hate
知道,,to know
明白,,to understand
记得,,to remember
忘记,,to forget
相信,,to believe
担心,,to worry
帮助,,to help
谢谢,,thank you
对不起,,sorry
没关系,,it doesn't matter
再见,,goodbye
你好,,hello
欢迎,,welcome
祝贺,,congratulations
生日,,birthday
节日,,festival
礼物,,gift
音乐,,music
电影,,movie
游戏,,game
运动,,sports
足球,,football
篮球,,basketball
网球,,tennis
游泳,,swimming
跳舞,,dancing
唱歌,,singing
画画,,drawing
照相,,photography
旅游,,travel
休息,,rest
睡觉,,to sleep
起床,,to get up
洗澡,,to take a bath
刷牙,,to brush teeth
洗脸,,to wash face
穿,,to wear
脱,,to take off
戴,,to wear
拿,,to take
放,,to put
给,,to give
送,,to send
借,,to borrow
还,,to return
找,,to look for
等,,to wait
坐,,to sit
站,,to stand
躺,,to lie down
笑,,to laugh
哭,,to cry
唱,,to sing
跳,,to jump
打,,to hit
踢,,to kick
扔,,to throw
接,,to catch
推,,to push
拉,,to pull
举,,to lift
抱,,to hug
亲,,to kiss
摸,,to touch
指,,to point
数,,to count
算,,to calculate
比,,to compare
选,,to choose
决定,,to decide
开始,,to start
结束,,to end
继续,,to continue
停,,to stop
练习,,to practice
复习,,to review
考试,,exam
问题,,question
答案,,answer
方法,,method
原因,,reason
结果,,result
机会,,opportunity
经验,,experience
能力,,ability
水平,,level
进步,,progress
成功,,success
失败,,failure
努力,,effort
认真,,serious
仔细,,careful
马虎,,careless
耐心,,patience
着急,,anxious
放心,,to feel at ease
小心,,be careful
注意,,attention
集中,,to concentrate
专心,,focused
分心,,distracted
清楚,,clear
模糊,,blurry
简单,,simple
复杂,,complex
普通,,ordinary
特别,,special
一般,,general
平常,,usual
正常,,normal
奇怪,,strange
有名,,famous
流行,,popular
传统,,traditional
现代,,modern
古老,,ancient
年轻,,young
成熟,,mature
幼稚,,childish
严肃,,serious
幽默,,humorous
活泼,,lively
安静,,quiet
吵,,noisy
热闹,,bustling
孤独,,lonely
自由,,free
紧张,,nervous
轻松,,relaxed
舒服,,comfortable
痛苦,,painful
幸福,,happy
满意,,satisfied
失望,,disappointed
惊讶,,surprised
有意思,,interesting
没意思,,boring
